Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Coqueiro Seco (AL),70.4,28.2,28.23,6.87,6.42,6.12,6.84,42.11,37.97,0,11.9,0,4.21,3.8,1.3,2.38,2.3,31.06
Coração de Jesus (MG),73.48,17.8,18.24,5.97,5.15,5.3,5.16,18.32,13.99,15.67,7.63,15.33,0.37,0.35,0.63,1.53,1.53,35.73
Coração de Maria (BA),70.74,25.2,21,5.21,5.46,5.24,4.97,28.27,14.18,0,0,3.73,0.71,0.71,1.07,0.77,0.37,42.58
Corbélia (PR),73.44,14.9,7.66,24.62,24.29,24.3,23.67,5.21,15.75,16.19,15.38,3.89,,1.18,0.4,0.38,0.39,4.6
Cordeirópolis (SP),76.45,11.6,4.78,59.22,77.94,66.03,63.77,13.07,3.34,17.06,6.31,3.55,0.65,0.33,,0.63,0.35,3.05
Cordeiro (RJ),74.54,14.7,5.84,11.67,11.9,11.74,10.87,12.99,8.51,16.46,11.24,18.05,0.87,1.28,,1.12,0.72,4.8
Cordeiros (BA),70.77,25.1,25.58,3.84,4.11,4.13,3.95,39.47,27.78,26.32,11.49,12.5,,,,1.15,,33.98
Cordilheira Alta (SC),76.32,11.8,4.86,39.92,36.96,31.94,29.39,0,0,0,37.04,14.93,,,,,,4.15
Cordisburgo (MG),72.17,20.1,10.83,7.13,7.36,7.35,7.38,0,31.25,40,0,0,3.57,1.56,,,,15.81
Cordislândia (MG),73.39,17.9,14.08,9.46,11.26,10.26,13.15,0,20.41,25,33.33,25.64,,,,,2.56,10.4
Coreaú (CE),70.5,25,36.91,3.89,4.15,4.03,3.89,17.61,9.87,12.1,21.43,22.39,3.17,0.99,2.02,1.43,0.75,47.57
Coremas (PB),72.65,20,33.41,5.55,6.32,6.12,6.13,15.79,25.38,13.45,0,9.52,0.53,1.02,0.9,2.39,1.43,39.64
Corguinho (MS),74.79,18.1,11.55,12.35,13.09,13.04,12.72,81.08,0,0,0,46.51,,2.56,2.78,5.26,,12.48
Coribe (BA),73.44,18,28.37,4.91,5.44,5.36,5.46,6.37,5.18,0,39.33,5.95,1.27,0.52,2.45,1.69,1.19,48.62
Corinto (MG),75.49,14.6,10.13,8.46,8.93,8.56,8.25,7.63,23.67,10.91,13.61,26.23,0.76,1.78,,2.38,0.98,18.29
Cornélio Procópio (PR),75.86,11.6,6.72,20.65,20.17,20.46,19.23,19.78,11.05,13.99,9.17,11.63,,0.37,0.7,1.1,0.39,5.21
Coroaci (MG),73.64,17.5,15.49,5.45,5.71,6.18,5.69,40.54,11.9,0,12.05,16.39,2.7,,,,,29.36
Coroados (SP),73.96,16.4,6.84,15.98,16.89,13.92,15,12.82,45.45,0,14.08,13.89,2.56,1.52,,1.41,1.39,3.34
Coroatá (MA),69.21,32,32.2,3.85,4.25,4.01,4.14,16.7,10.14,13.69,17.26,12.73,2.11,1.61,1.71,2.45,1.55,49.57
Coromandel (MG),76.57,13,8.06,20.87,22.11,20.45,21.92,13.94,3.12,20,3.13,12.35,1.39,1.25,,0.31,0.31,3.75
Coronel Barros (RS),76.11,11.3,3.15,28.1,23.93,26.7,27.29,0,0,37.04,0,0,,,,,,3.59
Coronel Bicaco (RS),73.19,15.3,11.28,23.3,22.89,22.74,26.28,8.77,0,0,0,11.11,3.51,1.06,,1.11,1.11,19.56
Coronel Domingos Soares (PR),72.49,16.3,10.2,15.03,15.16,14.28,14.95,8.85,19.05,17.86,22.73,0,,3.81,0.89,,,35.15
Coronel Ezequiel (RN),71.68,21.9,29.97,5.05,4.95,5.37,4.89,0,13.89,10.42,14.29,0,,1.39,1.04,1.43,1.41,46.48
Coronel Fabriciano (MG),76.88,12.54,6.08,10.74,10.73,10.15,9.71,9.32,11.24,6.96,17.23,9.8,0.43,0.77,0.42,0.55,0.6,7.92
Coronel Freitas (SC),76.59,11.4,8.3,21.69,18,16.89,16.85,9.8,17.86,0,17.54,27.52,,,,0.88,1.83,3.33
Coronel João Pessoa (RN),69.86,27.1,33.16,5.23,5.29,5.22,4.97,0,56.34,32.79,0,0,1.41,1.41,,,3.85,43.15
Coronel João Sá (BA),67.96,34,39.29,4.51,5.24,5.26,5.2,27.78,5.46,21.51,10.47,5.21,1.39,,1.08,0.52,0.52,42.31
Coronel José Dias (PI),68.49,32.7,32.45,4.19,4.34,4.37,4.37,18.87,0,0,15.38,40.82,1.89,1.61,1.79,4.62,2.04,51.52
Coronel Macedo (SP),73.64,16.9,12.67,9.37,9.76,9.49,10.56,0,0,0,18.52,0,,,,,,13.91
Coronel Martins (SC),73.93,15.1,11.43,13.66,11.9,11.97,12.79,66.67,0,0,0,0,,3.85,,,,11.71
Coronel Murta (MG),72.05,20.3,19.75,5.45,5.3,5.9,5.75,0,35.4,10.87,0,29.13,1.09,0.88,,,0.97,36.56
Coronel Pacheco (MG),72.36,19.7,11.47,8.43,9.05,8.56,8.5,0,37.04,0,0,0,,,,,,8.94
Coronel Pilar (RS),75.07,13.5,4.06,15.61,15.61,14.7,13.41,,,,,,,,,,,1.3
Coronel Sapucaia (MS),73.34,20.8,17.86,8.91,9.05,8.68,8.14,13.55,22.36,31.01,17.29,18.29,1.9,3.83,3.1,2.59,4.57,35.06
Coronel Vivida (PR),73.58,15.6,8.19,18.17,18.47,18.7,19.04,9.23,12.7,12.42,8.52,9.01,0.92,1.9,0.31,0.28,0.9,7.16
Coronel Xavier Chaves (MG),74.4,16.3,6.05,9.59,9.11,8.9,10.04,0,0,0,0,0,,,,,,16.3
Córrego Danta (MG),75.61,14.4,9.19,19.59,17.93,19.4,20.52,,,,,,,,,4.35,,7.99
Córrego do Bom Jesus (MG),75.4,14.7,12.22,5.86,6.03,6.18,5.98,0,34.48,0,0,0,,,,,,8.77
Córrego do Ouro (GO),73.18,17.7,11.2,13.79,13.58,12.86,11.75,0,29.41,41.67,35.71,75,,,4.17,,,9.59
Córrego Fundo (MG),72.67,19.2,9.5,23.91,24.58,18.13,16.13,15.38,0,0,0,32.26,,,,,,4.37
Córrego Novo (MG),73.32,18.1,21.38,6.39,8.12,7.01,7.7,68.18,0,0,0,26.32,2.27,,3.33,2.38,,21.98
Correia Pinto (SC),73.21,16.2,9.4,26.62,26.97,27.69,28.13,23.15,26.91,20.41,18.69,9.22,1.39,3.59,1.02,1.4,0.92,11.15
Corrente (PI),72.31,21.2,18.82,6.55,7.46,7.61,7.12,17.07,14.22,13.61,46.34,8.89,1.46,0.71,0.68,2.44,1.56,40.16
Correntes (PE),68.57,31.4,32.51,4.87,4.92,5.11,4.91,13.39,18.52,11.11,18.18,16.33,1.34,1.39,1.85,0.91,1.22,45.52
Correntina (BA),72.5,20.4,23.46,28.8,29.38,28.22,22.43,9.41,14.25,21.28,23.2,18.96,1.88,0.95,0.43,0.23,,43.17
Cortês (PE),67.42,35.4,28.89,6.12,6.72,6.01,6.67,9.09,4.61,12.55,10.2,10.36,0.91,0.46,0.84,,1.04,42.14
Corumbá de Goiás (GO),74.75,13.5,15.47,9.04,9.97,9.55,8.59,18.02,0,10.1,11.36,0,1.8,0.96,,,,16.94
Corumbaíba (GO),74.85,13.4,10.08,44.53,38.82,36.64,32.35,0,0,0,20.83,10.2,2.08,,,1.04,,5.85
Corumbá (MS),75.06,17.75,6.35,20.78,22.6,18.22,15.98,14.63,23.13,20.21,19.41,17.48,0.96,1.33,1.16,1.13,1.11,16.11
Corumbataí do Sul (PR),72.38,16.5,19.22,11.27,11.05,11.47,11.17,0,29.41,25,18.87,0,,,,1.89,2.5,16.88
Corumbataí (SP),75.43,14.1,7.03,20.75,29.75,28.12,27.3,0,18.87,0,0,0,,,,,,5.24
Corumbiara (RO),71.45,21.9,12.47,15.62,16.46,15.59,17.95,8.62,24,0,21.58,22.99,0.86,,0.9,0.72,,24.02
Corupá (SC),77.39,10.5,3.09,22.35,20.04,17.07,16.44,23.95,0,9.3,9.43,10.99,0.6,0.57,,,,2.28
Coruripe (AL),71.12,26,23.9,15.58,14.96,15.82,18.05,25.11,12.06,21.79,7.05,12.85,1.26,1.54,1.49,1.53,1.52,33.79
Cosmópolis (SP),77.57,9.19,4.83,15.03,15.75,13.72,12.88,11.26,12.02,9.04,8.75,10.83,0.56,0.72,0.52,0.29,0.41,2.83
Cosmorama (SP),75.96,13.3,9.08,25.85,25.64,21.26,20.48,43.48,0,0,33.33,0,,1.33,2.27,3.33,2.94,3.62
Costa Marques (RO),70.04,25.8,8.6,7.91,8.16,8.12,8.04,17.09,18.73,28.57,18.78,32.41,1.28,2.62,1.63,2.35,0.93,30.48
Costa Rica (MS),73.64,20.2,9.28,47.09,47.23,47.91,50,5.42,5.12,8.79,11.31,8.7,1.36,1.79,0.66,0.68,0.87,5.45
Cotegipe (BA),69.77,28.1,29.82,5.63,5.77,6.09,5.75,5.43,28.09,17.65,19.48,19.35,0.54,0.56,0.59,2.6,1.29,49.02
Cotia (SP),76.05,11.93,4.42,36.12,36.79,33.51,31.23,9.34,7.51,10.34,13.15,7.42,0.49,0.52,0.38,0.31,0.3,4.72
Cotiporã (RS),75.07,13.5,4.52,15.54,17.42,23.62,20.33,41.67,0,0,0,0,,,,,,0.37
Cotriguaçu (MT),74.51,16.1,9.28,7.24,7.26,7.02,6.97,20.55,10.64,0,7.04,0,0.68,,,0.7,,35.44
Couto de Magalhães de Minas (MG),73.4,17.9,11.44,8.57,7.98,9.05,6.62,0,0,19.23,40,18.18,,,,4,,26.08
Couto Magalhães (TO),70.6,24.8,17.45,8.74,8.59,10.21,9.52,24.39,0,12.66,0,0,3.66,2.38,,4.17,1.25,40.34
Coxilha (RS),76.93,10.3,6.82,47.66,43.51,45.44,47.7,,,,,,,3.13,1.82,,,11.86
Coxim (MS),75.17,17.5,10.46,17.06,18.07,17.15,16.32,20.37,7.12,9.23,6.07,5.27,2.04,0.71,1.85,1.21,0.88,8.47
Coxixola (PB),72.63,20,21.21,5.79,5.79,6.37,6.37,0,0,0,0,43.48,,4.76,,,,33.86
Craíbas (AL),66.22,43,39.67,4.17,4.24,5.45,4.28,26.7,7.33,20.74,20.25,13.26,1.94,0.98,1.15,1.27,1.33,51.16
Crateús (CE),72.24,20.3,24.99,5.42,6.56,6.1,5.95,15.97,12.71,20.09,22.01,13.14,1.38,1.27,1.28,0.63,0.66,37.07
Crato (CE),74.3,16.48,14.94,7.81,8.75,7.97,7.73,14.64,16.59,11.07,14.93,9.82,1.07,1.03,1.06,0.98,1.64,24.54
Cravinhos (SP),76.44,12.6,6.38,23.51,22.63,20.52,20.03,11.55,12.22,4.45,19.23,12.44,0.69,0.49,1.11,0.24,1,2.46
Cravolândia (BA),70.88,24.8,27.78,4.93,4.87,5,4.9,0,17.86,0,14.93,26.32,2,1.79,1.72,1.49,,42.52
Criciúma (SC),75.76,12.29,3,22.73,24.42,24.42,21.89,10.67,10.46,8.89,7.04,8.71,0.6,0.66,0.38,0.42,0.28,2.17
Crisólita (MG),72.96,18.7,35,5.47,5.6,5.32,5.39,12.82,10.31,40.54,13.16,0,1.28,1.03,2.7,5.26,1.19,35.67
Crisópolis (BA),70.87,24.8,30.66,4.74,4.83,4.61,4.39,15.75,19.76,10.53,14.6,30.19,0.39,1.98,1.75,0.73,1.89,51.72
Crissiumal (RS),75.11,12.6,4.79,14.56,14.75,14.78,14.77,8.47,12.82,24,13.79,7.52,,,,,0.75,7.24
Cristais (MG),76.54,13.1,9.84,8.69,8.88,9.43,11.31,25.64,7.63,18.02,0,8.06,,,0.9,0.78,,7.92
Cristais Paulista (SP),73.11,17.8,8,13.88,12.93,12.32,14.11,16.39,9.9,8.4,9.52,16.53,0.82,0.99,,0.95,,5.54
Cristalândia do Piauí (PI),71.18,24.4,25.81,4.08,3.97,4.2,3.99,19.05,17.7,19.61,39.6,20.62,2.86,0.88,1.96,2.97,3.09,58.48
Cristalândia (TO),73.29,17.8,12.61,9.36,9.23,9.63,10.21,22.73,9.8,0,0,9.71,1.14,0.98,1.43,,1.94,22.33
Cristal do Sul (RS),74.56,13.4,12.19,13.09,12.93,12.82,12.72,37.04,0,0,0,0,,,,,3.33,17.74
Cristália (MG),72.71,19.1,19.55,8.15,5.45,4.51,4.47,8.33,12.5,0,57.69,14.93,,,,,,46.63
Cristalina (GO),73.84,16.91,9.11,28.73,27.52,26.3,28.1,12.5,10.61,13.98,12.22,7.7,1,1.06,1.18,1.44,1.1,12.85
Cristal (RS),74.57,13.3,9.49,15.04,15.52,15.33,13.98,11.24,10.53,17.7,32.97,12.2,,1.05,1.77,,,11.74
Cristiano Otoni (MG),74.39,16.3,6.03,12.28,12.72,12.28,10.47,30.77,31.25,18.18,0,17.54,,,,,,15.04
Cristianópolis (GO),75.3,12.8,7.32,16.54,22.52,15.37,14.89,,,,,,,2.63,,8,2.78,8.14
Cristina (MG),75.53,14.5,9.34,9.87,11.2,9.97,10.45,0,19.61,0,7.87,10.1,0.98,,,0.79,1.01,14.64
Cristinápolis (SE),70.27,26.7,30.45,7.4,6.99,7.89,7.87,9.87,6.31,16.45,16.61,13.2,1.97,0.63,2.96,1.66,1.32,43.75
Cristino Castro (PI),67.77,35.2,24.86,5.38,5.98,5.79,5.64,12.2,6.49,17.24,29.94,6.21,,1.3,1.72,1.2,0.62,40.6
Cristópolis (BA),70.93,24.6,30.2,4.75,4.91,5.73,6.07,47.34,0,16.76,13.25,29.41,,,1.12,1.32,,46.07
Crixás do Tocantins (TO),72.86,18.8,10.67,12.7,13.95,16.16,15.37,0,47.62,0,0,0,3.85,4.76,,4.35,,25.73
Crixás (GO),73.31,17.5,11.96,18.93,17.57,17.38,15.55,15.38,16.67,22.22,19.32,16.46,2.05,2.08,1.78,0.48,0.41,13.81
Croatá (CE),70.58,24.8,35.25,4.46,4.48,4.11,4.35,14.71,12.88,24.59,0,16.04,2.45,1.29,0.82,1.04,0.53,58.91
Cromínia (GO),73.16,15.8,11.04,12.4,12.76,11.73,11.83,16.67,0,27.78,0,0,,,,,,6.01
Crucilândia (MG),73.97,17,13.78,8.04,8.03,7.73,7.75,25.64,0,15.63,0,0,,4.76,,,,14.22
Cruzália (SP),76.18,13,7.63,20.58,24.84,23.29,21.11,43.48,0,43.48,0,0,,,,,,7.83
Cruz Alta (RS),76.49,11.6,4.49,34.75,32.97,33.98,34.57,17.2,12.13,7.7,11.75,6.96,0.57,1.1,0.55,0.59,1.04,7.02
Cruzaltense (RS),75.92,11.5,6.76,23.55,19.88,21.5,23.61,0,0,47.62,0,0,,,,,,9.38
Cruz (CE),70.13,26.1,24.64,4.47,4.8,5.27,5.28,22.79,11.8,18.23,7.23,12.14,1.99,1.18,2.08,1.45,0.73,46.29
Cruz das Almas (BA),72.74,19.8,11.79,10.27,9.99,9.69,9.89,11.03,18.3,13.13,13.8,10.68,0.25,0.52,0.6,1.13,1.07,24.93
Cruz do Espírito Santo (PB),71.66,22.6,33.05,5.29,5.42,5.14,5.2,28.17,14.49,11.72,3.48,6.19,1.06,0.97,1.56,0.7,2.79,41.99
Cruzeiro da Fortaleza (MG),74.94,15.4,10.83,12.66,13.78,13.31,14.46,39.22,0,0,0,17.54,1.96,1.56,2.17,1.67,1.75,8.98
Cruzeiro do Iguaçu (PR),72.54,16.2,12.77,16.6,15.88,16.76,16.78,0,33.9,0,0,15.87,1.82,1.69,,,,9.77
Cruzeiro do Oeste (PR),74.5,13.4,12.56,19.31,21.73,20.4,20.86,22.9,13.94,22.29,10.56,13.7,1.91,0.7,1.27,2.11,0.34,5.41
Cruzeiro do Sul (AC),71.58,23.38,18.52,10.1,11.19,9.39,8.81,16.26,12.1,10.88,9.8,11.28,1.46,1.6,1.74,1.23,1.37,34.51
Cruzeiro do Sul (PR),74.65,13.2,12.11,25.95,22.99,22.24,25.93,0,12.5,49.18,0,25.97,1.72,3.75,1.64,,1.3,5.37
Cruzeiro do Sul (RS),74.98,12.8,3.83,17.13,18.38,17.86,17.22,9.01,19.42,17.24,13.99,9.43,,,,,0.94,1.82
Cruzeiro (SP),77.28,11.5,2.86,20.45,20.78,17.21,16.22,18.66,15.86,11.54,7.4,14.05,0.29,0.75,0.67,0.21,0.65,6.44
Cruzeta (RN),69.89,27,22.23,7.56,42.83,7.82,7.23,20.41,10.64,63.16,13.33,10.64,,,1.05,2.67,,20.57
Cruzília (MG),76.17,13.6,10.3,8.9,9.15,9.2,9.44,20.73,5.18,19.7,10.58,13.04,,,,,0.87,11.26
Cruz Machado (PR),75.67,11.8,5.88,12.18,13.66,11.33,10.79,12.61,8,16.33,4.46,0,0.84,1.6,0.82,1.34,0.95,29.04
Cruzmaltina (PR),71.05,19.9,17.14,22.47,21.93,22.67,20.28,71.43,0,0,0,0,,,2.04,2.44,,9.78
Cubatão (SP),74.23,16.17,5.32,42.51,59,83.58,91.72,22.22,14.76,18.29,14.87,13.58,0.63,0.42,0.73,0.59,0.43,7.29
Cubati (PB),69.51,28.9,27.75,5.35,5.55,5.58,5.21,29.41,28.04,0,10.75,0,0.98,0.93,2.73,,1.09,43.48
Cuiabá (MT),75.01,15.49,4.24,25.64,28.06,26.4,25.18,15.31,14.02,13.66,11.44,11.52,0.76,0.8,0.55,0.56,0.58,5.31
Cuité de Mamanguape (PB),65.96,41.4,41.21,5.97,5.89,5.8,5.49,11.9,12.35,12.66,10.87,0,4.76,,2.53,,,45.65
Cuitegi (PB),68.94,30.7,34.36,4.77,5.03,5.1,5.09,9.17,15.75,19.42,15.27,0,0.92,1.57,2.91,1.53,1.79,39.28
Cuité (PB),70.96,24.5,31.72,5.68,6.08,5.88,5.83,7.84,23.35,6.64,8.23,15.21,0.78,0.78,0.66,1.65,1.14,39.34
Cujubim (RO),72.33,19.6,11.94,10.75,10.35,9.91,9.64,24.63,16.67,14.6,8.3,9.57,1.97,1.25,0.36,1.24,3.83,19.56
Cumari (GO),74.16,14.3,8.83,18.54,16.28,15,13.35,38.46,0,0,0,0,3.85,2.7,3.85,,3.23,8.04
