cod_mun,nom_mun,sig_uf,regiao,tx_aprov_ef_1,saeb_mat_ef_1,saeb_port_ef_1,ideb_ef_1,tx_aprov_ef_2,saeb_mat_ef_2,saeb_port_ef_2,ideb_ef_2,tx_aprov_em,saeb_mat_em,saeb_port_em,ideb_em,populacao,exp_vida,analfabetismo,tx_pobreza,pib_per_capita,mortalidade_inf,maternidade_inf,type,num_operadoras,0_a_2_mbs,2.5_a_5_mbs,6_a_10_mbs,11_a_15_mbs,15_a_25_mbs,acima_25_mbs
1100205,PORTO VELHO,RO,NORTE,94.4,215.23,204.38,5.4,90.1,248.41,249.67,4.4,80.4,280.36,284.22,4.1,428527,74.14,5.1,7.95,19.15,13.75,0.97,mobile,6,504.0,152.0,102.0,460.0,0.0,0.0
1100254,PRESIDENTE MEDICI,RO,NORTE,95.7,227.09,215.67,5.8,95.1,275.15,263.49,5.4,93.9,280.17,274.23,4.5,22319,72.51,12.17,19.39,11.54,38.06,0.69,broadband,3,0.0,0.0,0.0,0.0,16.0,42.0
1100288,ROLIM DE MOURA,RO,NORTE,96.6,228.89,212.07,5.9,95.8,268.89,265.78,5.3,92.4,287.35,286.92,4.7,50648,73.46,9.04,10.77,14.08,5.19,0.52,broadband,6,52.0,42.0,0.0,32.0,6.0,234.0
1100288,ROLIM DE MOURA,RO,NORTE,96.6,228.89,212.07,5.9,95.8,268.89,265.78,5.3,92.4,287.35,286.92,4.7,50648,73.46,9.04,10.77,14.08,5.19,0.52,mobile,2,30.0,20.0,0.0,0.0,0.0,0.0
1100304,VILHENA,RO,NORTE,95.5,220.68,207.74,5.6,90.2,261.34,259.28,4.9,76.3,288.57,285.49,3.9,76202,73.49,6.08,6.37,17.14,15.02,0.89,broadband,8,75.0,126.0,37.0,42.0,207.0,664.0
1100304,VILHENA,RO,NORTE,95.5,220.68,207.74,5.6,90.2,261.34,259.28,4.9,76.3,288.57,285.49,3.9,76202,73.49,6.08,6.37,17.14,15.02,0.89,mobile,4,18.0,4.0,12.0,50.0,0.0,0.0
1100320,SAO MIGUEL DO GUAPORE,RO,NORTE,94.6,203.34,196.68,5.1,94.7,252.81,251.82,4.6,94.4,259.95,267.24,4.1,21828,71.87,10.81,33.34,14.2,16.13,,broadband,2,6.0,0.0,0.0,0.0,0.0,12.0
1100338,NOVA MAMORE,RO,NORTE,95.2,203.49,192.15,4.9,93.1,250.33,247.57,4.5,92.9,260.9,259.76,4,22546,71.15,13.07,28.2,9.86,18.48,0.41,broadband,3,12.0,2.0,0.0,2.0,0.0,0.0
1100346,ALVORADA D'OESTE,RO,NORTE,96.8,210.9,194.89,5.3,95.8,256.6,249.35,4.7,86.2,ND,ND,-,16853,70.75,12.96,23.63,9.57,16.85,,broadband,2,0.0,0.0,0.0,0.0,0.0,18.0
1100452,BURITIS,RO,NORTE,95.7,216.16,202.59,5.5,96.8,257.72,252.05,5,87.8,267.41,274.32,4,32383,70.08,9.85,20.83,10.04,20.57,1.11,broadband,4,26.0,0.0,12.0,20.0,8.0,0.0
1100700,CAMPO NOVO DE RONDONIA,RO,NORTE,89.1,220.85,206.22,5.3,85,261.04,256.01,4.4,85.1,273.91,276.29,4,12665,71.34,12.31,31.24,10.22,5.75,2.3,broadband,2,0.0,0.0,8.0,0.0,0.0,0.0
1100809,CANDEIAS DO JAMARI,RO,NORTE,83.8,211.16,197.89,5,90.5,240.54,236.59,3.8,83.2,267.35,269.33,3.8,19779,74.11,10.98,15.8,10.74,7.56,1.76,broadband,3,4.0,0.0,0.0,0.0,0.0,38.0
1100908,CASTANHEIRAS,RO,NORTE,-,-,-,-,97.6,251.33,239.24,4.6,95.8,ND,ND,-,3575,73.15,14.29,21.08,12.72,0.0,,broadband,2,0.0,0.0,0.0,2.0,0.0,0.0
1100924,CHUPINGUAIA,RO,NORTE,90,194.51,184.59,4.6,91.5,ND,ND,-,81.2,ND,ND,-,8301,74.21,10.31,16.12,17.62,11.83,1.18,broadband,2,0.0,8.0,0.0,0.0,0.0,0.0
1100940,CUJUBIM,RO,NORTE,89.4,199.26,177.56,4.2,93.6,247.17,240.45,4.1,88.7,ND,ND,-,15854,72.33,11.94,19.56,9.64,9.57,3.83,broadband,2,0.0,0.0,10.0,0.0,0.0,0.0
1101203,MINISTRO ANDREAZZA,RO,NORTE,97,230.02,206.05,5.9,98.3,275.19,260.18,5.4,92.5,281.85,275.5,4.4,10352,71.55,12.67,26.14,11.67,0.0,,broadband,2,0.0,2.0,6.0,0.0,8.0,0.0
1101302,MIRANTE DA SERRA,RO,NORTE,95.2,216.4,201.66,5.1,93.2,265.95,253.43,4.9,76.8,280.54,265.49,3.6,11878,72.99,13.51,24.22,10.37,12.82,0.64,broadband,2,0.0,0.0,0.0,0.0,0.0,10.0
1101401,MONTE NEGRO,RO,NORTE,96,200.68,181.53,4.7,94.1,246.15,236.38,4.4,96,ND,ND,-,14091,70.71,14.54,20.75,10.04,10.0,1.0,broadband,2,0.0,0.0,0.0,0.0,0.0,10.0
1101435,NOVA UNIAO,RO,NORTE,91,213.7,204.17,5.5,92.3,248.39,246.79,4.3,83.9,279.57,272.35,4,7493,70.17,13.57,27.74,9.09,0.0,,broadband,3,0.0,0.0,4.0,0.0,0.0,4.0
1101492,SAO FRANCISCO DO GUAPORE,RO,NORTE,98.6,211.96,192.39,5.4,98.9,270.88,259.51,5.4,96.6,269.84,272.31,4.4,16035,70.04,9.58,24.53,10.94,12.01,0.9,broadband,3,2.0,0.0,2.0,0.0,12.0,4.0
1101492,SAO FRANCISCO DO GUAPORE,RO,NORTE,98.6,211.96,192.39,5.4,98.9,270.88,259.51,5.4,96.6,269.84,272.31,4.4,16035,70.04,9.58,24.53,10.94,12.01,0.9,mobile,1,0.0,0.0,0.0,6.0,0.0,0.0
1101500,SERINGUEIRAS,RO,NORTE,94.5,195.6,192.48,4.8,99.5,264.54,249.71,5.2,98,272.27,267.55,4.4,11629,71.75,10.45,29.55,10.53,10.64,,broadband,2,0.0,0.0,0.0,0.0,0.0,0.0
1101708,URUPA,RO,NORTE,94.1,220.99,204.46,5.7,92.3,253.7,245.81,4.4,85.3,284.56,287.98,4.3,12974,71.32,14.26,26.03,9.89,6.67,1.33,broadband,3,0.0,0.0,0.0,0.0,0.0,12.0
1101807,VALE DO PARAISO,RO,NORTE,86.2,202.91,187.93,4.7,97.9,258.5,251.22,4.9,93.4,265.64,273.64,4.2,8210,72.5,12.87,30.25,10.64,0.0,,broadband,3,6.0,0.0,0.0,0.0,4.0,0.0
1200104,BRASILEIA,AC,NORTE,99.2,254.79,231.63,6.8,97.8,291.54,285.01,6.1,94.4,281.07,273.35,4.5,21398,71.22,18.08,35.22,11.11,17.54,1.4,broadband,3,16.0,0.0,4.0,0.0,0.0,0.0
1200138,BUJARI,AC,NORTE,96,189.47,175.23,4.5,90.1,221.84,214.18,3.6,90.1,ND,ND,-,8471,71.32,24.74,37.61,11.09,6.51,1.63,broadband,2,0.0,0.0,0.0,0.0,0.0,0.0
1200203,CRUZEIRO DO SUL,AC,NORTE,95.7,223.24,214.67,5.7,95.7,260.84,261.08,5,77,272.96,276.53,3.8,78507,71.58,18.52,34.51,8.81,11.28,1.37,broadband,3,102.0,24.0,24.0,0.0,2.0,0.0
1200203,CRUZEIRO DO SUL,AC,NORTE,95.7,223.24,214.67,5.7,95.7,260.84,261.08,5,77,272.96,276.53,3.8,78507,71.58,18.52,34.51,8.81,11.28,1.37,mobile,1,0.0,0.0,0.0,2.0,0.0,0.0
1200252,EPITACIOLANDIA,AC,NORTE,97.5,233.5,218.16,6,88.8,262.4,263.39,5,73.3,ND,ND,-,15100,71.27,16.31,29.44,10.88,10.31,1.03,broadband,4,0.0,12.0,16.0,0.0,0.0,0.0
1200252,EPITACIOLANDIA,AC,NORTE,97.5,233.5,218.16,6,88.8,262.4,263.39,5,73.3,ND,ND,-,15100,71.27,16.31,29.44,10.88,10.31,1.03,mobile,1,12.0,0.0,0.0,0.0,0.0,0.0
1200336,MANCIO LIMA,AC,NORTE,96.5,211.35,198.83,5.3,95.4,239.83,243.61,4.5,93.3,260.86,267.93,4.1,15206,71.17,23.79,45.68,7.17,8.38,1.68,broadband,2,0.0,4.0,0.0,0.0,0.0,0.0
1200401,RIO BRANCO,AC,NORTE,98.4,240.81,224.12,6.5,91.5,255.13,255.47,4.8,82.7,266.26,270.45,3.9,336038,72.85,9.03,14.38,14.3,11.46,1.19,broadband,6,512.0,460.0,190.0,675.0,913.0,2159.0
1200401,RIO BRANCO,AC,NORTE,98.4,240.81,224.12,6.5,91.5,255.13,255.47,4.8,82.7,266.26,270.45,3.9,336038,72.85,9.03,14.38,14.3,11.46,1.19,mobile,5,170.0,34.0,28.0,356.0,0.0,0.0
1200427,RODRIGUES ALVES,AC,NORTE,92.8,220.16,207.02,5.5,93.9,249.91,248.45,4.7,89.1,251.56,252.42,3.6,14389,69.18,31.26,60.87,6.98,19.13,2.46,broadband,2,6.0,0.0,0.0,0.0,0.0,0.0
1200427,RODRIGUES ALVES,AC,NORTE,92.8,220.16,207.02,5.5,93.9,249.91,248.45,4.7,89.1,251.56,252.42,3.6,14389,69.18,31.26,60.87,6.98,19.13,2.46,mobile,1,4.0,0.0,0.0,0.0,0.0,0.0
1200450,SENADOR GUIOMARD,AC,NORTE,97.3,240.69,221.07,6.3,91.6,260.97,255.67,4.8,64.2,263.66,258.51,2.8,20179,72.17,17.69,23.3,10.73,12.66,2.28,broadband,2,16.0,0.0,0.0,0.0,0.0,0.0
1200500,SENA MADUREIRA,AC,NORTE,92.5,228.63,214.83,5.7,91.6,257.28,258.93,4.8,85.1,267.19,274.32,4,38029,73.59,24.75,37.59,7.42,14.1,1.79,broadband,3,10.0,0.0,26.0,0.0,0.0,0.0
1200500,SENA MADUREIRA,AC,NORTE,92.5,228.63,214.83,5.7,91.6,257.28,258.93,4.8,85.1,267.19,274.32,4,38029,73.59,24.75,37.59,7.42,14.1,1.79,mobile,1,26.0,0.0,0.0,0.0,0.0,0.0
1200609,TARAUACA,AC,NORTE,90.3,226.35,205.83,5,92.1,257.23,253.26,4.7,87.4,258.42,258.38,3.7,35590,68.21,31.09,54.76,7.22,22.97,3.0,broadband,2,0.0,6.0,6.0,0.0,8.0,0.0
1200708,XAPURI,AC,NORTE,98.5,230.59,212.65,5.9,84.7,260.71,256.19,4.5,76.8,275.51,275.41,3.8,16091,71.38,22.24,33.64,8.0,3.28,0.33,broadband,3,0.0,14.0,10.0,0.0,0.0,0.0
1200807,PORTO ACRE,AC,NORTE,96.2,ND,ND,-,91,ND,ND,-,88.6,271.08,264.92,4,14880,71.24,23.5,41.47,8.66,9.3,3.02,broadband,2,0.0,4.0,0.0,0.0,0.0,0.0
1300300,AUTAZES,AM,NORTE,88.1,205.94,198.6,4.9,84.5,234.73,232.48,3.8,81,225.83,233.55,2.7,32135,72.91,15.76,51.58,5.06,15.61,3.23,broadband,2,14.0,0.0,0.0,0.0,0.0,0.0
1300904,CANUTAMA,AM,NORTE,60.6,189.27,177.9,3.6,86.4,244.35,234.08,3.8,85.8,245.08,249.48,3.3,12738,70.1,29.53,57.35,4.22,26.18,3.66,broadband,2,8.0,0.0,0.0,0.0,0.0,0.0
1301100,CAREIRO,AM,NORTE,80.5,198.05,189.83,4.6,83.9,239,243.98,4,80.2,235.88,241.01,2.9,32734,71.76,13.72,60.88,4.34,11.72,1.37,broadband,6,32.0,2.0,4.0,0.0,0.0,0.0
1301209,COARI,AM,NORTE,88.5,191.19,179.31,4.6,89.7,233.85,234.32,3.8,83.5,236.61,242.04,3,75965,71.79,17.02,40.38,8.98,18.12,1.99,broadband,4,114.0,0.0,0.0,0.0,46.0,0.0
1301654,GUAJARA,AM,NORTE,81.1,180.93,166.01,3.9,85.2,219.72,226.03,3.6,73.7,237.41,242.71,2.7,13974,70.7,31.5,67.87,4.54,12.27,0.92,broadband,2,12.0,0.0,0.0,0.0,0.0,0.0
1301704,HUMAITA,AM,NORTE,79,192.09,181.77,4.4,88.9,240.51,240.38,4,78.4,249.82,255.48,3.2,44227,72.47,16.95,41.89,6.26,14.99,2.9,broadband,8,94.0,42.0,73.0,188.0,43.0,99.0
1301704,HUMAITA,AM,NORTE,79,192.09,181.77,4.4,88.9,240.51,240.38,4,78.4,249.82,255.48,3.2,44227,72.47,16.95,41.89,6.26,14.99,2.9,mobile,1,0.0,44.0,84.0,82.0,0.0,0.0
1301852,IRANDUBA,AM,NORTE,90.4,208.9,195.84,5,90.6,249.71,249.55,4.4,79.7,235.18,242.42,2.9,40781,72.94,13.24,34.86,9.04,4.25,2.13,broadband,3,0.0,14.0,10.0,0.0,0.0,0.0
1301902,ITACOATIARA,AM,NORTE,92.6,212.36,194.54,5.3,95.1,250.42,252.24,4.8,87.2,249.2,252.58,3.5,86839,73.66,9.12,36.6,13.85,18.14,1.46,broadband,4,120.0,6.0,0.0,0.0,0.0,0.0
1301902,ITACOATIARA,AM,NORTE,92.6,212.36,194.54,5.3,95.1,250.42,252.24,4.8,87.2,249.2,252.58,3.5,86839,73.66,9.12,36.6,13.85,18.14,1.46,mobile,1,4.0,0.0,0.0,0.0,0.0,0.0
1302405,LABREA,AM,NORTE,80.8,194.58,182.67,4.3,92.3,237.94,239.39,3.9,84.4,241.7,248.21,3.2,37701,69.62,28.55,52.41,6.53,13.5,3.24,broadband,2,58.0,0.0,0.0,42.0,0.0,0.0
1302504,MANACAPURU,AM,NORTE,95.5,214.41,202.87,5.5,95.9,252.4,256.11,4.9,85.1,246.95,251.26,3.3,85141,72.69,15.55,35.47,8.65,11.35,2.22,broadband,6,0.0,16.0,1.0,95.0,60.0,290.0
1302504,MANACAPURU,AM,NORTE,95.5,214.41,202.87,5.5,95.9,252.4,256.11,4.9,85.1,246.95,251.26,3.3,85141,72.69,15.55,35.47,8.65,11.35,2.22,mobile,1,50.0,0.0,0.0,0.0,0.0,0.0
